Model,Accuracy,Precision,Recall,F1-Score,Pred_Time_ms,Size_MB,Rank
Stacking Ensemble,0.9954545454545455,0.9958677685950413,0.9954545454545455,0.9954431533378901,455.4111957550049,13.348869323730469,1
Random Forest,0.9931818181818182,0.9933982683982684,0.9931818181818182,0.9931789754960487,175.6002902984619,5.33697509765625,2
LightGBM,0.9840909090909091,0.9846009652229748,0.9840909090909091,0.9840183992302094,1700.2134323120117,7.40093994140625,3
XGBoost,0.9818181818181818,0.9823282379502476,0.9818181818181818,0.9817456719574821,5.043268203735352,1.899740219116211,4
SVM,0.9795454545454545,0.980881956958512,0.9795454545454545,0.9794406983110449,31.590700149536133,0.3088226318359375,5
Logistic Regression,0.9772727272727273,0.9793203063954052,0.9772727272727273,0.9770631581390755,1.6078948974609375,0.007569313049316406,6
Decision Tree,0.95,0.9537031808770938,0.95,0.9493257733965418,1.1036396026611328,0.02020740509033203,7
