,,,Season Price & Arrival Report (2023-24),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2023-24,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Bajra(Pearl Millet/Cumbu),2500.00,2258.18,1196254.89,-,-
Cereals,Barley(Jau),1735.00,-,-,1887.63,561185.44
Cereals,Jowar(Sorghum),3180.00,3330.44,360521.33,-,-
Cereals,Maize,2090.00,2081.44,7105818.29,-,-
Cereals,Paddy(Common),2183.00,2323.90,33282705.45,-,-
Cereals,Ragi(Finger Millet),3846.00,3207.36,46017.60,-,-
Cereals,Wheat,2125.00,-,-,2262.35,26945606.66
Fibre Crops,Cotton,6620.00,6885.07,3256277.34,-,-
Fibre Crops,Jute,4750.00,-,-,5074.28,80416.67
Oil Seeds,Copra,10590.00,-,-,8212.62,79696.45
Oil Seeds,Groundnut,6377.00,6084.62,2107555.92,-,-
Oil Seeds,Mustard,5450.00,-,-,5003.25,3256267.11
Oil Seeds,Niger Seed(Ramtil),7734.00,7733.50,1128.26,-,-
Oil Seeds,Safflower,5650.00,-,-,4292.24,10882.31
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",8635.00,13378.05,265401.07,-,-
Oil Seeds,Soyabean,4600.00,4485.45,6597190.71,-,-
Oil Seeds,Sunflower,6400.00,5860.45,53772.59,-,-
Oil Seeds,Toria,4650.00,-,-,4447.09,1765.08
Others,Sugarcane,285.00,294.92,33273.43,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),7000.00,9885.24,884112.74,-,-
Pulses,Bengal Gram(Gram)(Whole),5335.00,-,-,5380.16,1945485.03
Pulses,Black Gram(Urd Beans)(Whole),6950.00,-,-,7761.89,505421.42
Pulses,Green Gram(Moong)(Whole),8558.00,-,-,7772.31,618766.10
Pulses,Lentil(Masur)(Whole),6000.00,-,-,5857.54,819707.02

